feature,F,eta_squared,n
NOTTA_psnr,4.159735778689795,0.00828369039233974,999
caption_len_chars,2.283768792044194,0.004564946805207069,999
caption_len_words,2.353031759394461,0.004702743083459455,999
mean_flow,4.1198701058413345,0.008204953341067566,999
